task,artifact,embedding,classifier,macro_f1
Identification,code_comment,qwen3,xgboost,0.9664494320881061
Identification,code_comment,qwen3,logreg,0.9335988438283822
Identification,code_comment,e5,xgboost,0.9586746327398099
Identification,code_comment,e5,logreg,0.9138728900510686
Identification,commit,qwen3,xgboost,0.8916980455441994
Identification,commit,qwen3,logreg,0.8356793793138193
Identification,commit,e5,xgboost,0.8816660789154029
Identification,commit,e5,logreg,0.8374246339362619
Identification,issue,qwen3,xgboost,0.8656213664490612
Identification,issue,qwen3,logreg,0.8380980551372805
Identification,issue,e5,xgboost,0.8631980011156579
Identification,issue,e5,logreg,0.84260621502445
Identification,pull_request,qwen3,xgboost,0.8641983649753395
Identification,pull_request,qwen3,logreg,0.8180076628352491
Identification,pull_request,e5,xgboost,0.8703324558837866
Identification,pull_request,e5,logreg,0.8312011371712864
Categorization,code_comment,qwen3,xgboost,0.947015130201095
Categorization,code_comment,qwen3,logreg,0.8694323928383314
Categorization,code_comment,e5,xgboost,0.9581349361172855
Categorization,code_comment,e5,logreg,0.8638475754170505
Categorization,commit,qwen3,xgboost,0.963869987454893
Categorization,commit,qwen3,logreg,0.8996136563305633
Categorization,commit,e5,xgboost,0.9487464790740842
Categorization,commit,e5,logreg,0.9239636311036391
Categorization,issue,qwen3,xgboost,0.9441850587760141
Categorization,issue,qwen3,logreg,0.8748134111939952
Categorization,issue,e5,xgboost,0.9503345766139978
Categorization,issue,e5,logreg,0.8789695964207602
Categorization,pull_request,qwen3,xgboost,0.9547756602641057
Categorization,pull_request,qwen3,logreg,0.8577804925556929
Categorization,pull_request,e5,xgboost,0.9334612408609282
Categorization,pull_request,e5,logreg,0.9241875507839538
