task,artifact_type,embedding,classifier,macro_f1
identification,code_comment,qwen3,xgboost,0.9151816186423016
identification,code_comment,qwen3,logreg,0.9078948812074952
identification,code_comment,e5,xgboost,0.8910954525757563
identification,code_comment,e5,logreg,0.8707712498214257
identification,commit,qwen3,xgboost,0.6861141224007096
identification,commit,qwen3,logreg,0.5821705426356589
identification,commit,e5,xgboost,0.7508263412153573
identification,commit,e5,logreg,0.6049785677769476
identification,issue,qwen3,xgboost,0.798121909643725
identification,issue,qwen3,logreg,0.7858316382412769
identification,issue,e5,xgboost,0.7779306600771275
identification,issue,e5,logreg,0.7656434807096593
identification,pull_request,qwen3,xgboost,0.7924418604651162
identification,pull_request,qwen3,logreg,0.7476080501484659
identification,pull_request,e5,xgboost,0.717015086530098
identification,pull_request,e5,logreg,0.6561797752808989
categorization,code_comment,qwen3,xgboost,0.8999776107471007
categorization,code_comment,qwen3,logreg,0.8556450985174815
categorization,code_comment,e5,xgboost,0.9041370096631557
categorization,code_comment,e5,logreg,0.8553580774877034
categorization,commit,qwen3,xgboost,0.9588910380399742
categorization,commit,qwen3,logreg,0.9116785254737672
categorization,commit,e5,xgboost,0.9377989315276292
categorization,commit,e5,logreg,0.9126813061558502
categorization,issue,qwen3,xgboost,0.9409743252290467
categorization,issue,qwen3,logreg,0.8678933589966367
categorization,issue,e5,xgboost,0.9384790729467667
categorization,issue,e5,logreg,0.8851200147569807
categorization,pull_request,qwen3,xgboost,0.9269969052980064
categorization,pull_request,qwen3,logreg,0.8634004142580283
categorization,pull_request,e5,xgboost,0.9359777041052522
categorization,pull_request,e5,logreg,0.9264087188273368
