artifact_type,embedding,classifier,macro_f1,vs_baseline
code_comment,—,Paper (BiLSTM+AugGPT),0.939,—  (baseline)
code_comment,qwen3,xgboost,0.9152,-0.0238
code_comment,qwen3,logreg,0.9079,-0.0311
code_comment,e5,xgboost,0.8911,-0.0479
code_comment,e5,logreg,0.8708,-0.0682
issue,—,Paper (BiLSTM+AugGPT),0.878,—  (baseline)
issue,qwen3,xgboost,0.7981,-0.0799
issue,qwen3,logreg,0.7858,-0.0922
issue,e5,xgboost,0.7779,-0.1001
issue,e5,logreg,0.7656,-0.1124
pull_request,—,Paper (BiLSTM+AugGPT),0.862,—  (baseline)
pull_request,qwen3,xgboost,0.7924,-0.0696
pull_request,qwen3,logreg,0.7476,-0.1144
pull_request,e5,xgboost,0.717,-0.1450
pull_request,e5,logreg,0.6562,-0.2058
commit,—,Supervisor's replication (BiLSTM),0.91,—  (baseline)
commit,qwen3,xgboost,0.6861,-0.2239
commit,qwen3,logreg,0.5822,-0.3278
commit,e5,xgboost,0.7508,-0.1592
commit,e5,logreg,0.605,-0.3050
